,acc,bool_optimal,phi,theta
683,0.4531,1,5,0.007
684,0.28,1,5,0.007
685,0.1003,1,5,0.007
686,0.423,1,5,0.007
687,0.2846,1,5,0.007
688,0.4762,1,5,0.007
689,0.4396,1,5,0.007
690,0.358,1,5,0.007
691,0.3863,1,5,0.007
692,0.2339,1,5,0.007
693,0.4104,1,5,0.007
694,0.2608,1,5,0.007
695,0.3487,1,5,0.007
696,0.2941,1,5,0.007
697,0.4256,1,5,0.007
698,0.2799,1,5,0.007
699,0.4161,1,5,0.007
700,0.3622,1,5,0.008
701,0.3646,1,5,0.008
702,0.5135,1,5,0.008
703,0.4561,1,5,0.008
704,0.4684,1,5,0.008
705,0.3737,1,5,0.008
706,0.2282,1,5,0.008
707,0.3293,1,5,0.008
708,0.3156,1,5,0.008
709,0.1837,1,5,0.008
710,0.225,1,5,0.008
711,0.4052,1,5,0.008
712,0.2616,1,5,0.008
713,0.4322,1,5,0.008
714,0.447,1,5,0.008
715,0.4276,1,5,0.008
716,0.4798,1,5,0.008
717,0.2948,1,5,0.008
718,0.2924,1,5,0.008
719,0.4028,1,5,0.008
720,0.2545,1,5,0.008
721,0.2518,1,5,0.008
722,0.4814,1,5,0.008
723,0.5089,1,5,0.008
724,0.3627,1,5,0.008
725,0.3679,1,5,0.008
726,0.3794,1,5,0.008
727,0.4847,1,5,0.008
728,0.3132,1,5,0.008
729,0.3535,1,5,0.008
730,0.2838,1,5,0.008
731,0.2115,1,5,0.008
732,0.4706,1,5,0.008
733,0.2051,1,5,0.008
734,0.1455,1,5,0.008
735,0.4435,1,5,0.008
736,0.2919,1,5,0.008
737,0.2601,1,5,0.008
738,0.2864,1,5,0.008
739,0.3834,1,5,0.008
740,0.3054,1,5,0.008
741,0.2446,1,5,0.008
742,0.2545,1,5,0.008
743,0.2506,1,5,0.008
744,0.3726,1,5,0.008
745,0.4114,1,5,0.008
746,0.4615,1,5,0.008
747,0.4324,1,5,0.008
748,0.3823,1,5,0.008
749,0.4107,1,5,0.008
750,0.4861,1,5,0.008
751,0.4382,1,5,0.008
752,0.4586,1,5,0.008
753,0.3805,1,5,0.008
754,0.3336,1,5,0.008
755,0.332,1,5,0.008
756,0.3748,1,5,0.008
757,0.2923,1,5,0.008
758,0.2876,1,5,0.008
759,0.5205,1,5,0.008
760,0.1881,1,5,0.008
761,0.4683,1,5,0.008
762,0.4879,1,5,0.008
763,0.2366,1,5,0.008
764,0.3513,1,5,0.008
765,0.368,1,5,0.008
766,0.437,1,5,0.008
767,0.4071,1,5,0.008
768,0.3558,1,5,0.008
769,0.5608,1,5,0.008
770,0.3707,1,5,0.008
771,0.4139,1,5,0.008
772,0.4538,1,5,0.008
773,0.3529,1,5,0.008
774,0.3646,1,5,0.008
775,0.3544,1,5,0.008
776,0.454,1,5,0.008
777,0.4055,1,5,0.008
778,0.4339,1,5,0.008
779,0.3193,1,5,0.008
780,0.3061,1,5,0.008
781,0.3126,1,5,0.008
782,0.3141,1,5,0.008
783,0.4929,1,5,0.008
784,0.5921,1,5,0.008
785,0.4353,1,5,0.008
786,0.5226,1,5,0.008
787,0.3104,1,5,0.008
788,0.489,1,5,0.008
789,0.1624,1,5,0.008
790,0.5405,1,5,0.008
791,0.2096,1,5,0.008
792,0.4266,1,5,0.008
793,0.2155,1,5,0.008
794,0.3303,1,5,0.008
795,0.3444,1,5,0.008
796,0.5816,1,5,0.008
797,0.4378,1,5,0.008
798,0.4774,1,5,0.008
799,0.4594,1,5,0.008
800,0.3113,1,5,0.009000000000000001
801,0.5372,1,5,0.009000000000000001
802,0.3148,1,5,0.009000000000000001
803,0.1832,1,5,0.009000000000000001
804,0.3178,1,5,0.009000000000000001
805,0.3268,1,5,0.009000000000000001
806,0.5902,1,5,0.009000000000000001
807,0.3438,1,5,0.009000000000000001
808,0.316,1,5,0.009000000000000001
809,0.3696,1,5,0.009000000000000001
810,0.3236,1,5,0.009000000000000001
811,0.4128,1,5,0.009000000000000001
812,0.3847,1,5,0.009000000000000001
813,0.2932,1,5,0.009000000000000001
814,0.3477,1,5,0.009000000000000001
815,0.3802,1,5,0.009000000000000001
816,0.3816,1,5,0.009000000000000001
817,0.4368,1,5,0.009000000000000001
818,0.3605,1,5,0.009000000000000001
819,0.5411,1,5,0.009000000000000001
820,0.3125,1,5,0.009000000000000001
821,0.483,1,5,0.009000000000000001
822,0.3351,1,5,0.009000000000000001
823,0.392,1,5,0.009000000000000001
824,0.3337,1,5,0.009000000000000001
825,0.4359,1,5,0.009000000000000001
826,0.3699,1,5,0.009000000000000001
827,0.4233,1,5,0.009000000000000001
828,0.4043,1,5,0.009000000000000001
829,0.3487,1,5,0.009000000000000001
830,0.3756,1,5,0.009000000000000001
831,0.3726,1,5,0.009000000000000001
832,0.4125,1,5,0.009000000000000001
833,0.482,1,5,0.009000000000000001
834,0.3807,1,5,0.009000000000000001
835,0.3728,1,5,0.009000000000000001
836,0.5337,1,5,0.009000000000000001
837,0.4336,1,5,0.009000000000000001
838,0.3587,1,5,0.009000000000000001
839,0.4041,1,5,0.009000000000000001
840,0.447,1,5,0.009000000000000001
841,0.5031,1,5,0.009000000000000001
842,0.2402,1,5,0.009000000000000001
843,0.3161,1,5,0.009000000000000001
844,0.2956,1,5,0.009000000000000001
845,0.4365,1,5,0.009000000000000001
846,0.4961,1,5,0.009000000000000001
847,0.4369,1,5,0.009000000000000001
848,0.3463,1,5,0.009000000000000001
849,0.2794,1,5,0.009000000000000001
850,0.2651,1,5,0.009000000000000001
851,0.2549,1,5,0.009000000000000001
852,0.4329,1,5,0.009000000000000001
853,0.4862,1,5,0.009000000000000001
854,0.2669,1,5,0.009000000000000001
855,0.4173,1,5,0.009000000000000001
856,0.3748,1,5,0.009000000000000001
857,0.3004,1,5,0.009000000000000001
858,0.4736,1,5,0.009000000000000001
859,0.281,1,5,0.009000000000000001
860,0.4134,1,5,0.009000000000000001
861,0.2098,1,5,0.009000000000000001
862,0.3146,1,5,0.009000000000000001
863,0.362,1,5,0.009000000000000001
864,0.2781,1,5,0.009000000000000001
865,0.4073,1,5,0.009000000000000001
866,0.5263,1,5,0.009000000000000001
867,0.3401,1,5,0.009000000000000001
868,0.441,1,5,0.009000000000000001
869,0.3294,1,5,0.009000000000000001
870,0.2965,1,5,0.009000000000000001
871,0.4443,1,5,0.009000000000000001
872,0.4257,1,5,0.009000000000000001
873,0.4687,1,5,0.009000000000000001
874,0.2724,1,5,0.009000000000000001
875,0.3336,1,5,0.009000000000000001
876,0.4169,1,5,0.009000000000000001
877,0.3005,1,5,0.009000000000000001
878,0.4966,1,5,0.009000000000000001
879,0.3666,1,5,0.009000000000000001
880,0.5966,1,5,0.009000000000000001
881,0.5016,1,5,0.009000000000000001
882,0.1023,1,5,0.009000000000000001
883,0.4139,1,5,0.009000000000000001
884,0.5082,1,5,0.009000000000000001
885,0.5802,1,5,0.009000000000000001
886,0.442,1,5,0.009000000000000001
887,0.5249,1,5,0.009000000000000001
888,0.5309,1,5,0.009000000000000001
889,0.3296,1,5,0.009000000000000001
890,0.4851,1,5,0.009000000000000001
891,0.4626,1,5,0.009000000000000001
892,0.294,1,5,0.009000000000000001
893,0.3818,1,5,0.009000000000000001
894,0.5085,1,5,0.009000000000000001
895,0.4258,1,5,0.009000000000000001
896,0.464,1,5,0.009000000000000001
897,0.4678,1,5,0.009000000000000001
898,0.2565,1,5,0.009000000000000001
