,acc,bool_hebbian,phi,theta
697,0.5556,1,1.9999999999999998,1
698,0.6871,1,1.9999999999999998,1
699,0.7493,1,1.9999999999999998,1
700,0.8618,0,2.1999999999999997,1
701,0.9555,0,2.1999999999999997,1
702,0.8511,0,2.1999999999999997,1
703,0.843,0,2.1999999999999997,1
704,0.7649,0,2.1999999999999997,1
705,0.5829,0,2.1999999999999997,1
706,0.6777,0,2.1999999999999997,1
707,0.9501,0,2.1999999999999997,1
708,0.673,0,2.1999999999999997,1
709,0.9524,0,2.1999999999999997,1
710,0.7606,1,2.1999999999999997,1
711,0.663,1,2.1999999999999997,1
712,0.6666,1,2.1999999999999997,1
713,0.7414,1,2.1999999999999997,1
714,0.8432,1,2.1999999999999997,1
715,0.6488,1,2.1999999999999997,1
716,0.8519,1,2.1999999999999997,1
717,0.9024,1,2.1999999999999997,1
718,0.783,1,2.1999999999999997,1
719,0.8471,1,2.1999999999999997,1
720,0.5787,0,2.3999999999999995,1
721,0.6523,0,2.3999999999999995,1
722,0.8606,0,2.3999999999999995,1
723,0.6864,0,2.3999999999999995,1
724,0.7807,0,2.3999999999999995,1
725,0.5969,0,2.3999999999999995,1
726,0.8609,0,2.3999999999999995,1
727,0.4847,0,2.3999999999999995,1
728,0.8592,0,2.3999999999999995,1
729,0.4057,0,2.3999999999999995,1
730,0.778,1,2.3999999999999995,1
731,0.8632,1,2.3999999999999995,1
732,0.7954,1,2.3999999999999995,1
733,0.7439,1,2.3999999999999995,1
734,0.8615,1,2.3999999999999995,1
735,0.77,1,2.3999999999999995,1
736,0.7006,1,2.3999999999999995,1
737,0.774,1,2.3999999999999995,1
738,0.6774,1,2.3999999999999995,1
739,0.9458,1,2.3999999999999995,1
740,0.768,0,2.5999999999999996,1
741,0.5683,0,2.5999999999999996,1
742,0.6709,0,2.5999999999999996,1
743,0.676,0,2.5999999999999996,1
744,0.7827,0,2.5999999999999996,1
745,0.9481,0,2.5999999999999996,1
746,0.563,0,2.5999999999999996,1
747,0.7369,0,2.5999999999999996,1
748,0.8651,0,2.5999999999999996,1
749,0.674,0,2.5999999999999996,1
750,0.7373,1,2.5999999999999996,1
751,0.8682,1,2.5999999999999996,1
752,0.7596,1,2.5999999999999996,1
