,Unnamed: 0,Unnamed: 0.1,acc,bool_hebbian,phi,theta
787,,,0.4158,0,5,0.005
788,,,0.3063,0,5,0.005
789,,,0.4164,0,5,0.005
790,,,0.1339,0,5,0.005
791,,,0.1983,0,5,0.005
792,,,0.1397,0,5,0.005
793,,,0.2595,0,5,0.005
794,,,0.3599,0,5,0.005
795,,,0.1871,0,5,0.005
796,,,0.2737,0,5,0.005
797,,,0.1735,0,5,0.005
798,,,0.3763,0,5,0.005
799,,,0.4788,0,5,0.005
800,,,0.1846,0,5,0.005
801,,,0.4943,0,5,0.005
802,,,0.2451,0,5,0.005
803,,,0.2792,0,5,0.005
804,,,0.3566,0,5,0.005
805,,,0.3737,0,5,0.005
806,,,0.4881,0,5,0.005
807,,,0.2298,0,5,0.005
808,,,0.1446,0,5,0.005
809,,,0.4044,0,5,0.005
810,,,0.2214,1,5,0.005
811,,,0.1865,1,5,0.005
812,,,0.445,1,5,0.005
813,,,0.5285,1,5,0.005
814,,,0.3378,1,5,0.005
